id,j,branch,wavenumber,intensity,pressure,temperature,model,npoints,rms,amplitude,amplitude_std,center,center_std,sigma,sigma_std,gamma,gamma_std,fwhm,fwhm_std,height,height_std
1,0,R37,5683.56608,0.82995,78.0,293.15,Gaussian,81,0.0364207526143352,0.0366243195814669,0.0003757428709561,5683.566050377779,0.0002148118250082,0.0186315231503815,0.0002310371755086,,,0.0438738833449814,0.0005440509612986,0.7842080420282904,0.0078370793474386
2,0,R35,5687.6509,1.55898,78.0,293.15,Gaussian,102,0.0582818631435265,0.0887413591557032,0.0006753173546872,5687.650166694503,0.0002023996513713,0.0237425275537703,0.0002188293335365,,,0.0559093787341695,0.000515303690763,1.4911083854288405,0.0110474733233997
3,1,R37,5701.98353,1.19811,78.0,293.15,Gaussian,90,0.048459668607004,0.0592856443969347,0.0005279690522624,5701.982868601928,0.0002081170749225,0.0208351667477142,0.0002244441448484,,,0.0490630673608524,0.0005285255617831,1.1351745641915738,0.0098371718919929
4,1,R35,5706.09283,1.77746,78.0,293.15,Gaussian,131,0.0620482108663731,0.1326667274502107,0.0008167959191969,5706.092630025038,0.0002104871360284,0.0305085720012612,0.0002276366054066,,,0.0718421955200099,0.0005360432307419,1.734803234326151,0.0103708112494655
5,2,R37,5719.16838,1.32846,78.0,293.15,Gaussian,95,0.0534844926175068,0.0699945692312869,0.0006018149755682,5719.167682945843,0.0002134889068994,0.0221743211378193,0.0002311304032784,,,0.0522165349017598,0.0005442704945166,1.2592852003488606,0.010519563328174
6,2,R35,5723.30027,1.81124,78.0,293.15,Gaussian,145,0.0611261235355725,0.1500078911648985,0.0008417070041604,5723.300587877067,0.0002112479308667,0.0335251031627534,0.0002276637721603,,,0.0789455834297151,0.0005361072055488,1.7850651444366556,0.0097396541589632
7,3,R37,5735.10838,1.33776,78.0,293.15,Gaussian,92,0.0550185254032585,0.0677118251345545,0.0006075851618247,5735.108046068661,0.0002145016221541,0.0212978657680333,0.0002313283384743,,,0.0501526402678803,0.0005447365986166,1.2683482725730113,0.011062897438364
8,3,R35,5739.26099,1.81475,78.0,293.15,Gaussian,142,0.0623109411308176,0.1469974283420914,0.0008482029382674,5739.261081160415,0.0002125430768743,0.032807071403998,0.000229013704177,,,0.0772547478835627,0.0005392860514867,1.7875259706885165,0.0100319357396637
9,4,R37,5749.79318,1.27048,78.0,293.15,Gaussian,82,0.0497681339288754,0.0580650716559057,0.0005213257616941,5749.792574303966,0.0001924214553204,0.0191412651978364,0.0002083036172775,,,0.0450742341131691,0.000490517523003,1.2101923773925969,0.0105601100419431
10,4,R35,5753.96275,1.79917,78.0,293.15,Gaussian,122,0.05932568816443,0.1259225986429517,0.0007522064476138,5753.962913496043,0.000190058460106,0.0284087941114865,0.0002055571425781,,,0.0668975965496107,0.0004840500715613,1.7683204337168297,0.0102664896616866
11,5,R37,5763.21055,1.1304,78.0,293.15,Gaussian,70,0.0424591369380607,0.0441615305123002,0.0004135732017381,5763.210538161028,0.0001713062526034,0.0163321150269151,0.0001853553916007,,,0.0384591911076802,0.0004364785831485,1.0787275576410755,0.0098029419634227
12,5,R35,5767.39517,1.75437,78.0,293.15,Gaussian,98,0.0557564374370714,0.0986285051917208,0.0006411319670977,5767.3953288047,0.0001673165776034,0.0230029196677608,0.0001815289845788,,,0.0541677352920364,0.0004274680824045,1.710525588710072,0.0107828283175048
13,6,R37,5775.35105,0.91165,78.0,293.15,Gaussian,59,0.033382987079667,0.0298327859082771,0.000295781992822,5775.350695444163,0.000151207016321,0.0135805225617378,0.0001626771043159,,,0.0319796861388314,0.000383075298499,0.876369828300092,0.0084662244515966
14,6,R35,5779.54698,1.62964,78.0,293.15,Gaussian,75,0.0500262584460427,0.0701550505595669,0.0005081347338252,5779.547040764729,0.0001434223970123,0.0177209853832533,0.0001561348200026,,,0.0417297308001927,0.0003676693967202,1.5793600988632868,0.0110789789232361
15,7,R37,5786.2034,0.63783,78.0,293.15,Gaussian,48,0.0152573167790642,0.0180214056610463,0.0001274589225974,5786.203493053704,9.07614800794876e-05,0.0115233233901599,9.953485191122016e-05,,,0.0271353523856164,0.000234386658848,0.6239086399146061,0.0042529729545274
16,7,R35,5790.40874,1.35745,78.0,293.15,Gaussian,59,0.0420672692554097,0.0454827985783712,0.0003783803239546,5790.408399642983,0.000128584210028,0.0138037140584501,0.0001393132668852,,,0.0325052619391195,0.000328057667182,1.314502183865827,0.0106108229564058
17,8,R37,5795.75817,0.38712,78.0,293.15,Gaussian,43,0.0079865470954675,0.0098967650781046,6.366875742919101e-05,5795.758025712055,7.417889780401735e-05,0.0103636450556952,8.153644111217732e-05,,,0.0244045186500521,0.0001920036423026,0.3809700353109876,0.0023581834435119
18,8,R35,5799.96822,0.95071,78.0,293.15,Gaussian,47,0.0204914561932369,0.0263248994313687,0.0001689375316476,5799.968504879082,8.053902888484406e-05,0.0112619885953149,8.822294857414592e-05,,,0.0265199559840194,0.000207749164413,0.9325276648555588,0.0057774438733596
19,9,R37,5804.00596,0.19637,78.0,293.15,Gaussian,39,0.0023970028661729,0.0048057116284073,1.907324290205744e-05,5804.005472461551,4.290798453346468e-05,0.0098255037029018,4.825206497214491e-05,,,0.0231372926296672,0.000113624927452,0.1951250244409723,0.0007348377637212
20,9,R35,5808.21883,0.53409,78.0,293.15,Gaussian,40,0.0057567796611683,0.0132760562903554,4.595182290183636e-05,5808.218575815887,3.816248543376655e-05,0.0099982228185668,4.2725751974996806e-05,,,0.0235440150576176,0.0001006114550777,0.5297321861609625,0.0017454788188619
21,10,R37,5810.93545,0.09607,78.0,293.15,Gaussian,436,0.0526981320784356,0.0544753051504393,0.0005722737122077,5810.8712598062,0.0002826640283609,0.0232067233667487,0.0002815905199436,,,0.0546476563184873,0.0006630949890468,0.9364744512384297,0.0098399051249344
22,10,R35,5815.14833,0.25991,78.0,293.15,Gaussian,36,0.0027237360815891,0.0059853614676372,2.131490691614145e-05,5815.148580696465,3.5977005866449367e-05,0.0092294815989706,4.086998109225419e-05,,,0.021733767858888,9.624144921303248e-05,0.2587159251172788,0.0008671536774209
23,1,P37,5643.08047,0.75801,78.0,293.15,Gaussian,82,0.0343051712455333,0.0336582738838417,0.0003547625128005,5643.080004731894,0.0002229670002544,0.0188413470634927,0.0002397606340963,,,0.0443679808920539,0.000564593136617,0.7126724618998973,0.0073230656721274
24,1,P35,5647.10408,1.48874,78.0,293.15,Gaussian,100,0.0575988292775662,0.0834934279653505,0.0006683513390591,5647.10401599269,0.0002099261399853,0.0234314493392442,0.0002276533210096,,,0.0551768455330391,0.0005360825932422,1.421553558430272,0.0110329436990056
25,2,P37,5621.03773,1.03169,78.0,293.15,Gaussian,90,0.0420169073250979,0.0513701161062348,0.0004613383258475,5621.037628935936,0.0002109612395525,0.0209508488070158,0.0002281132667429,,,0.0493354777877369,0.0005371656837274,0.9781805243053284,0.0085275317883968
26,2,P35,5625.02838,1.70289,78.0,293.15,Gaussian,124,0.0623082085669308,0.1186604282363519,0.000795890977358,5625.027564904278,0.0002165478995299,0.0288026176280462,0.0002339274142071,,,0.0678249800428758,0.000550856955157,1.643554234233893,0.0107147389140733
27,3,P37,5597.81229,1.08959,78.0,293.15,Gaussian,92,0.0444632717955925,0.0554224990541312,0.0004928256325602,5597.811408749226,0.0002135019981061,0.021435352909217,0.0002310013475253,,,0.0504763977376825,0.0005439665919169,1.031491262963795,0.008905257040483
28,3,P35,5601.76528,1.73717,78.0,293.15,Gaussian,131,0.064932472101743,0.1275352781709448,0.0008464164629875,5601.764685677834,0.0002253354152684,0.0303063438443487,0.0002429793824896,,,0.0713659846115492,0.0005721727058277,1.6788305928939724,0.0108465577321844
29,4,P37,5573.41546,1.04153,78.0,293.15,Gaussian,89,0.0455038213618332,0.0506687181982521,0.0004909809952768,5573.4155925525065,0.0002234254443229,0.0205561323177252,0.0002408133189191,,,0.0484059915044257,0.0005670720184515,0.983351082957976,0.0092855849996783
30,4,P35,5577.32984,1.70788,78.0,293.15,Gaussian,122,0.0642229704714619,0.1166243251562556,0.0008113548027079,5577.329409879952,0.0002202910471686,0.0282359251792754,0.0002376688231486,,,0.0664905213306613,0.0005596672969331,1.6477723403210411,0.0111491422268278
31,5,P37,5547.86419,0.92059,78.0,293.15,Gaussian,77,0.0382082843071263,0.0391968690970958,0.0003883435121286,5547.864167187992,0.000199006570226,0.0179228622357268,0.0002151589217691,,,0.0422051144499342,0.0005066605313598,0.8724772251623687,0.0083976258979702
32,5,P35,5551.73619,1.63188,78.0,293.15,Gaussian,102,0.0621934611216745,0.0931764734488115,0.0007224107402217,5551.736153601909,0.0002062093487174,0.023746159798776,0.000223017389478,,,0.0559179320173537,0.0005251658063038,1.5653914965009967,0.0117990694129661
33,6,P37,5521.17071,0.7504,78.0,293.15,Gaussian,71,0.0479843421051618,0.0281100968893165,0.0004623944385378,5521.169907007128,0.0002976419691398,0.016081232739439,0.0003194791796278,,,0.0378684084794859,0.0007523159619055,0.6973536723179059,0.0111477303162034
34,6,P35,5524.99846,1.48011,78.0,293.15,Gaussian,81,0.0575658795382449,0.0667267530961652,0.0005993738688256,5524.997950263493,0.0001950615660247,0.0188548577883533,0.0002109382650862,,,0.0443997962171703,0.0004967216461671,1.4118443453951428,0.0125810592794578
35,7,P37,5493.34915,0.53571,78.0,293.15,Gaussian,57,0.0222432393267643,0.0166135531205865,0.0001919839600354,5493.348570979479,0.0001682795739402,0.0129266551522548,0.0001798653052049,,,0.0304399460856328,0.0004235504182302,0.5127273076471622,0.0057860085694098
36,7,P35,5497.12981,1.20228,78.0,293.15,Gaussian,64,0.0465853877842365,0.0428948754009739,0.000433021389175,5497.129303977503,0.0001683268491342,0.0148748034541017,0.0001818939527253,,,0.0350274846697878,0.0004283275145738,1.1504407640397525,0.0112841870311478
37,8,P35,5468.14345,0.83515,78.0,293.15,Gaussian,51,0.0265118155488122,0.0243008311741558,0.0002223212663784,5468.142838136997,0.0001221336422449,0.0119405230183542,0.0001325824679771,,,0.0281177824140809,0.0003122078461962,0.8119099528242978,0.0072045224072164
1,0,R37,5683.56608,0.82995,78.0,293.15,Lorentz,81,0.0065446592658827,0.0504945336521681,0.00011744176797,5683.566164526947,3.8907733883377976e-05,0.0191432520718211,6.329951139353314e-05,,,0.0382865041436422,0.0001265990226522,0.8396123029183552,0.0017311483109153
2,0,R35,5687.6509,1.55898,78.0,293.15,Lorentz,102,0.0198216846933629,0.1230768470262022,0.0004051547098041,5687.650291621006,7.029370172710248e-05,0.0246754948721226,0.0001152320331871,,,0.0493509897442452,0.0002304640663994,1.5876714559222822,0.0045928525930652
3,1,R37,5701.98353,1.19811,78.0,293.15,Lorentz,90,0.0108041491151756,0.0819377951839249,0.0002046370413966,5701.98298519014,4.679901111322314e-05,0.021509822797944,7.649769434885837e-05,,,0.043019645595888,0.000152995388764,1.2125442239212043,0.0026868960376929
4,1,R35,5706.09283,1.77746,78.0,293.15,Lorentz,131,0.0349061274449359,0.1845443426211507,0.0008113015713771,5706.09282043322,0.0001210840680694,0.0319070103239995,0.0001989463097206,,,0.0638140206479991,0.0003978926198632,1.841046548981116,0.0070934558266921
5,2,R37,5719.16838,1.32846,78.0,293.15,Lorentz,95,0.011477993451845,0.0969030457366165,0.0002264022980029,5719.167819521413,4.643801943938065e-05,0.0229503279713241,7.610271069053913e-05,,,0.0459006559426482,0.000152205421274,1.343998170163762,0.0027616771805484
6,2,R35,5723.30027,1.81124,78.0,293.15,Lorentz,145,0.0430337260825465,0.2086713405663519,0.0010441260493721,5723.300739482817,0.0001519341693001,0.0351014623241083,0.0002491588833769,,,0.0702029246482167,0.0004983177676667,1.8922902110240964,0.0083200904822662
7,3,R37,5735.10838,1.33776,78.0,293.15,Lorentz,92,0.0121649535560284,0.0935612524953335,0.0002333643335541,5735.108174518422,4.769465308471491e-05,0.0219750002999012,7.791547894861406e-05,,,0.0439500005998025,0.0001558309577029,1.3552433455847612,0.0029908513142643
8,3,R35,5739.26099,1.81475,78.0,293.15,Lorentz,142,0.0429360188927843,0.204471972862759,0.0010283806750472,5739.26125707035,0.0001494020047264,0.0343443407516481,0.0002450325532052,,,0.0686886815032963,0.0004900651053107,1.895085239964145,0.008382305403687
9,4,R37,5749.79318,1.27048,78.0,293.15,Lorentz,82,0.0125231013045114,0.0804843852988836,0.000229167667157,5749.792665406447,4.898977755342231e-05,0.0198601992170297,8.043618542609158e-05,,,0.0397203984340595,0.0001608723706085,1.2899657428451832,0.0032433392585482
10,4,R35,5753.96275,1.79917,78.0,293.15,Lorentz,122,0.0415600163166751,0.1754722021812121,0.0009369790593567,5753.9630762358,0.0001373245131407,0.0298236350407619,0.0002258581040662,,,0.0596472700815238,0.0004517162076109,1.872828012170259,0.0087513973317342
11,5,R37,5763.21055,1.1304,78.0,293.15,Lorentz,70,0.0126970142294466,0.0612208360885031,0.0002167921581276,5763.2106029722245,5.194865435719807e-05,0.0169554888423635,8.518799599975503e-05,,,0.033910977684727,0.0001703759918459,1.1493150326965968,0.0035755080533086
12,5,R35,5767.39517,1.75437,78.0,293.15,Lorentz,98,0.0366105863449883,0.1375384496943451,0.0007474147783942,5767.395427208745,0.000112917257139,0.0241662770244368,0.0001862334015422,,,0.0483325540488737,0.0003724668031346,1.811609215771713,0.0085939320601413
13,6,R37,5775.35105,0.91165,78.0,293.15,Lorentz,59,0.0144466830794484,0.0413349184848329,0.0002246982969772,5775.350764342515,6.660946197127334e-05,0.0141046888896203,0.0001087882948469,,,0.0282093777792407,0.0002175765896896,0.9328326113664084,0.0044730002039143
14,6,R35,5779.54698,1.62964,78.0,293.15,Lorentz,75,0.031047783128696,0.0979204118151454,0.0005616813122653,5779.5471460235385,9.16849933027178e-05,0.0186378471750903,0.0001516023088291,,,0.0372756943501806,0.0003032046173369,1.672351758227501,0.008349134492799
15,7,R37,5786.2034,0.63783,78.0,293.15,Lorentz,48,0.0155024203934074,0.0252977250543368,0.0002328624554671,5786.203550947929,9.577308203121305e-05,0.0122454562357923,0.0001597555260155,,,0.0244909124715846,0.0003195110516828,0.6575921858049442,0.005218659124462
16,7,R35,5790.40874,1.35745,78.0,293.15,Lorentz,59,0.0271687617793155,0.0633529511493483,0.0004313712282368,5790.408490811155,8.482365040852417e-05,0.0144750394395054,0.0001397594074406,,,0.0289500788790109,0.0002795188148769,1.3931479516399112,0.0083032227767703
17,8,R37,5795.75817,0.38712,78.0,293.15,Lorentz,43,0.0113091924823679,0.0139302241372517,0.0001628271260007,5795.758112198871,0.0001094921608632,0.0110714441352288,0.0001832816080582,,,0.0221428882704577,0.0003665632162684,0.4005013436320356,0.0040192125583566
18,8,R35,5799.96822,0.95071,78.0,293.15,Lorentz,47,0.0248143281879724,0.0369724800844336,0.0003671403161731,5799.968535230197,0.0001010488420232,0.0119852189193128,0.0001686313766109,,,0.0239704378386256,0.0003372627529345,0.9819350416256584,0.0084205440094545
19,9,R37,5804.00596,0.19637,78.0,293.15,Lorentz,39,0.0067238644362093,0.0068461478723951,9.86255549545114e-05,5804.005542461944,0.0001271789119424,0.0106979822336874,0.0002178642825237,,,0.0213959644673749,0.0004357285643183,0.2037016511193213,0.0024561354157943
20,9,R35,5808.21883,0.53409,78.0,293.15,Lorentz,40,0.0174113150035473,0.0188744044791461,0.0002542215216978,5808.218601574439,0.000121150200792,0.0108526971817315,0.0002067575726191,,,0.021705394363463,0.0004135151455139,0.5535867906118062,0.0062836724695609
21,10,R37,5810.93545,0.09607,78.0,293.15,Lorentz,436,0.0116661231108341,0.071357801466731,0.0001884843378825,5810.871352582399,5.741095407399434e-05,0.0217942792539194,8.144412100920797e-05,,,0.0435885585078388,0.0001628882417826,1.0421952653015685,0.0027474456156073
22,10,R35,5815.14833,0.25991,78.0,293.15,Lorentz,36,0.0087421559375663,0.0085630454537121,0.0001264296815709,5815.148649970132,0.0001218628267787,0.0101100363138186,0.0002107600144568,,,0.0202200726276373,0.0004215200281446,0.2696035956212146,0.0032977036053542
23,1,P37,5643.08047,0.75801,78.0,293.15,Lorentz,82,0.0057870295375122,0.0463558622756351,0.0001039169594173,5643.080154150302,3.77904294666178e-05,0.0193158638850481,6.1452095938786e-05,,,0.0386317277700962,0.0001229041916105,0.7639073236995124,0.0015176743701819
24,1,P35,5647.10408,1.48874,78.0,293.15,Lorentz,100,0.0170620160446213,0.1158421440315908,0.0003476180794053,5647.104175695818,6.308153092961118e-05,0.0243511984562294,0.0001036422043889,,,0.0487023969124589,0.0002072844088017,1.5142458531870877,0.0039829241493297
25,2,P37,5621.03773,1.03169,78.0,293.15,Lorentz,90,0.0091883756194157,0.0710699774980876,0.0001754498965425,5621.03776701822,4.642422349854259e-05,0.0216595556411087,7.60388199246358e-05,,,0.0433191112822175,0.0001520776396458,1.0444479012063643,0.0022775816037588
26,2,P35,5625.02838,1.70289,78.0,293.15,Lorentz,124,0.0271603427431302,0.1647034977345353,0.00061079927443,5625.027755371165,9.62474739173437e-05,0.0299930246600808,0.0001577825743859,,,0.0599860493201616,0.000315565148715,1.7479648847589389,0.0056944141751589
27,3,P37,5597.81229,1.08959,78.0,293.15,Lorentz,92,0.0101683781048012,0.0766817319799524,0.0001969667285925,5597.811593009209,4.936261930190148e-05,0.0221611266823695,8.08362422783406e-05,,,0.0443222533647391,0.0001616724848228,1.101413063884691,0.0024917536010287
28,3,P35,5601.76528,1.73717,78.0,293.15,Lorentz,131,0.0284928182726969,0.1768859812288005,0.0006547142630609,5601.764880052936,0.0001011310776687,0.0315205481143121,0.0001655134599313,,,0.0630410962286243,0.0003310269191219,1.786281088518757,0.0058192923683272
29,4,P37,5573.41546,1.04153,78.0,293.15,Lorentz,89,0.0086526020426242,0.0699401902802478,0.0001621633152938,5573.415739771297,4.278653513667208e-05,0.0211613643200463,6.984605030490688e-05,,,0.0423227286400926,0.0001396921003126,1.0520425166064111,0.0021670195090471
30,4,P35,5577.32984,1.70788,78.0,293.15,Lorentz,122,0.0274265014109375,0.1617493165548469,0.0006093039951285,5577.329625255359,9.585595624904927e-05,0.0293625089478966,0.000156912127852,,,0.0587250178957932,0.0003138242553066,1.7534744346610045,0.0058107643750827
31,5,P37,5547.86419,0.92059,78.0,293.15,Lorentz,77,0.0089442014355407,0.0542177366449958,0.0001589546574455,5547.864311047034,4.776590447549143e-05,0.0185199985733461,7.81570290206818e-05,,,0.0370399971466923,0.0001563140576591,0.9318598088086564,0.002445070729819
32,5,P35,5551.73619,1.63188,78.0,293.15,Lorentz,102,0.0221415695886564,0.12927750423975,0.0004497360620799,5551.736323900241,7.429463122497153e-05,0.0246949474114765,0.000122006830842,,,0.0493898948229531,0.000244013661664,1.6663452957053249,0.0051107310460499
33,6,P37,5521.17071,0.7504,78.0,293.15,Lorentz,71,0.0185190025120144,0.0384709318103513,0.0003043701148311,5521.170282760002,0.0001129272120503,0.0162439150308322,0.000182380297105,,,0.0324878300616644,0.0003647605951699,0.7538625038493802,0.005309879839598
34,6,P35,5524.99846,1.48011,78.0,293.15,Lorentz,81,0.0191459731937019,0.0924635538620093,0.0003493097323331,5524.998118262883,6.388166967675233e-05,0.0195576629727622,0.0001047066406009,,,0.0391153259455245,0.0002094132815653,1.5048865820241648,0.0049926641792611
35,7,P37,5493.34915,0.53571,78.0,293.15,Lorentz,57,0.0079208053177223,0.0229192600788522,0.0001185102715733,5493.348638581669,6.024891600808003e-05,0.0133205357794232,9.776095760187632e-05,,,0.0266410715588465,0.0001955219150744,0.5476827287264944,0.0025179014476953
36,7,P35,5497.12981,1.20228,78.0,293.15,Lorentz,64,0.0167621855623656,0.0594679897647794,0.0002729261619412,5497.129422419825,6.134873035943323e-05,0.0154471498843962,0.000100548746369,,,0.0308942997687924,0.0002010974925262,1.2254202242414414,0.0049459490579853
37,8,P35,5468.14345,0.83515,78.0,293.15,Lorentz,51,0.0186142326467442,0.0338987949013284,0.0002784824798663,5468.1429625217215,8.869180469027352e-05,0.0125533612277768,0.0001462546406198,,,0.0251067224555536,0.0002925092816293,0.8595564024148858,0.0061591053244595
1,0,R37,5683.56703,0.87873,145.0,293.15,Gaussian,144,0.0436189371975708,0.0672878931063675,0.0005942464476029,5683.566275335583,0.0003275338874231,0.0329361199719491,0.0003513459907529,,,0.0775586340323452,0.0008273565642278,0.8150318513799066,0.0070127498176452
2,0,R35,5687.64996,1.59085,145.0,293.15,Gaussian,189,0.0727323577192989,0.1622623372060397,0.001122219133402,5687.6498781704495,0.0003351408124957,0.0431315116077668,0.0003594865260085,,,0.1015669461642015,0.0008465260609234,1.5008356441812325,0.0101346763564557
3,1,R37,5701.98259,1.23987,145.0,293.15,Gaussian,163,0.0582838294496955,0.1090100485468286,0.0008440245525586,5701.981954462392,0.000325761727916,0.0374576858096908,0.0003503040139993,,,0.0882061076983763,0.0008249029028795,1.1610092441731217,0.0087547586985606
4,1,R35,5706.09189,1.78872,145.0,293.15,Gaussian,241,0.070779594535492,0.24019425712699,0.0012410187260182,5706.0914602721,0.0003211289144935,0.0553324157933836,0.0003452121427309,,,0.1302978793585757,0.0008129124600036,1.7317814162108367,0.0087171032395471
